Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score,Stress_Num,Risk_Index,Risk_Level,En_Riesgo,Usage_Level,Sleep_Deficit,Unlocks_Per_Hour,Study_Usage_Ratio
21,Male,Other,Undergraduate,Facebook,Networking,4.0,134,4.5,2.2,6.7,Medium,6.8,1,0.418,Bajo,False,Moderado,False,33.5,1.12
23,Female,Other,Graduate,LinkedIn,Education,1.6,73,7.0,2.4,8.6,Low,7.6,0,0.156,Bajo,False,Bajo,False,45.6,4.38
22,Male,Canada,Undergraduate,Instagram,Entertainment,4.6,166,4.0,1.8,6.7,Medium,7.0,1,0.427,Bajo,False,Moderado,False,36.1,0.87
18,Male,Other,High School,Snapchat,Entertainment,7.0,220,1.0,1.7,5.4,Very High,5.3,3,0.873,Alto,True,Muy alto,True,31.4,0.14
24,Female,Other,Graduate,Facebook,Networking,7.5,237,1.0,1.1,5.0,Very High,4.4,3,0.925,Alto,True,Muy alto,True,31.6,0.13
19,Female,Other,Undergraduate,Twitter,News,4.1,138,4.6,2.2,6.8,Low,6.8,0,0.302,Bajo,False,Moderado,False,33.7,1.12
22,Female,Other,Undergraduate,Instagram,Entertainment,8.0,246,1.0,0.9,5.2,Very High,5.3,3,0.873,Alto,True,Muy alto,True,30.8,0.12
21,Female,Other,Undergraduate,Facebook,Networking,6.0,209,1.0,1.3,5.7,High,4.7,2,0.796,Alto,True,Alto,True,34.8,0.17
24,Male,USA,Graduate,YouTube,Education,4.7,154,2.4,1.1,7.0,High,6.2,2,0.651,Medio,False,Moderado,False,32.8,0.51
19,Male,Other,Undergraduate,TikTok,Entertainment,3.6,130,3.7,1.1,8.1,Medium,8.6,1,0.348,Bajo,False,Bajo,False,36.1,1.03
18,Male,Other,High School,LinkedIn,Education,4.1,133,4.3,1.8,7.3,High,6.8,2,0.537,Medio,False,Moderado,False,32.4,1.05
18,Male,Other,High School,Snapchat,Entertainment,7.6,240,1.0,1.1,5.3,Very High,5.5,3,0.861,Alto,True,Muy alto,True,31.6,0.13
20,Male,Other,Undergraduate,Facebook,Networking,2.4,86,6.2,1.8,8.8,Low,8.5,0,0.138,Bajo,False,Bajo,False,35.8,2.58
23,Female,Other,Graduate,LinkedIn,Education,6.2,189,1.5,1.4,5.3,Very High,5.4,3,0.846,Alto,True,Alto,True,30.5,0.24
24,Male,India,Graduate,Instagram,Entertainment,2.7,120,5.4,2.4,8.6,Medium,7.8,1,0.323,Bajo,False,Bajo,False,44.4,2.0
18,Female,Other,High School,Twitter,News,5.2,155,3.3,0.6,7.0,High,6.3,2,0.608,Medio,False,Alto,False,29.8,0.63
22,Female,USA,Undergraduate,YouTube,Education,6.5,226,1.3,0.9,5.4,Very High,5.0,3,0.878,Alto,True,Muy alto,True,34.8,0.2
21,Male,Australia,Undergraduate,YouTube,Education,6.8,211,1.6,1.5,5.7,Very High,5.0,3,0.865,Alto,True,Muy alto,True,31.0,0.24
21,Male,Canada,Undergraduate,Facebook,Networking,6.9,212,1.0,1.5,5.9,High,5.0,2,0.779,Alto,True,Muy alto,True,30.7,0.14
